# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	35	space	COLOR	absent	16	homo	homo	NA	NA	absent	914.295241993	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	36	space	COLOR	absent	12	homo	homo	NA	NA	absent	925.755364995	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	37	space	COLOR	absent	16	homo	homo	NA	NA	absent	734.795005003	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	38	space	COLOR	present	16	homo	homo	NA	NA	present	592.556894	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	39	space	COLOR	present	8	homo	homo	NA	NA	present	570.647035027	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	40	space	COLOR	absent	12	homo	homo	NA	NA	absent	1330.34726698	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	41	space	COLOR	absent	8	homo	homo	NA	NA	absent	1101.43660603	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	42	space	COLOR	present	12	homo	homo	NA	NA	present	1077.65467599	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	43	space	COLOR	present	16	homo	homo	NA	NA	present	945.516744978	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	44	space	COLOR	present	8	homo	homo	NA	NA	present	637.515323993	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	45	space	COLOR	absent	16	homo	homo	NA	NA	absent	921.032194048	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	46	space	COLOR	present	12	homo	homo	NA	NA	present	876.464104978	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	47	space	COLOR	absent	8	homo	homo	NA	NA	absent	913.78521797	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	48	space	COLOR	absent	12	homo	homo	NA	NA	absent	1079.71570699	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	49	space	COLOR	absent	8	homo	homo	NA	NA	absent	856.545166986	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	50	space	COLOR	absent	12	homo	homo	NA	NA	absent	820.253056998	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	51	space	COLOR	present	16	homo	homo	NA	NA	present	689.571835042	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	52	space	COLOR	present	12	homo	homo	NA	NA	present	1822.69335003	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	53	space	COLOR	present	8	homo	homo	NA	NA	present	621.305311972	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	54	space	COLOR	absent	16	homo	homo	NA	NA	absent	931.814927026	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	55	space	COLOR	present	12	homo	homo	NA	NA	present	876.318574999	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	56	space	COLOR	present	8	homo	homo	NA	NA	present	537.402549991	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	57	space	COLOR	absent	12	homo	homo	NA	NA	absent	882.674410008	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	58	space	COLOR	absent	8	homo	homo	NA	NA	absent	879.609858035	NA	NA
